Abbreviation,State,Row,Space
AK,Alaska,0,0
AL,Alabama,6,7
AR,Arkansas,5,5
AZ,Arizona,5,2
CA,California,4,1
CO,Colorado,4,3
CT,Connecticut,3,10
DC,Dist. of Col.,4,10
DE,Delaware,5,9
FL,Florida,7,9
GA,Georgia,6,8
HI,Hawaii,7,1
IA,Iowa,3,5
ID,Idaho,2,2
IL,Illinois,2,6
IN,Indiana,3,6
KS,Kansas,5,4
KY,Kentucky,4,6
LA,Louisiana,6,5
MA,Massachusetts,2,11
MD,Maryland,4,9
ME,Maine,0,11
MI,Michigan,2,8
MN,Minnesota,2,5
MO,Missouri,4,5
MS,Mississippi,6,6
MT,Montana,2,3
NC,North Carolina,5,7
ND,North Dakota,2,4
NE,Nebraska,4,4
NH,New Hampshire,1,11
NJ,New Jersey,3,9
NM,New Mexico,5,3
NV,Nevada,3,2
NY,New York,2,9
OH,Ohio,3,7
OK,Oklahoma,6,4
OR,Oregon,3,1
PA,Pennsylvania,3,8
RI,Rhode Island,2,10
SC,South Carolina,5,8
SD,South Dakota,3,4
TN,Tennessee,5,6
TX,Texas,7,4
UT,Utah,4,2
VA,Virginia,4,8
VT,Vermont,1,10
WA,Washington,2,1
WI,Wisconsin,2,7
WV,West Virginia,4,7
WY,Wyoming,3,3
